,persName,rolename
191,"BATTISCOMBE, CHRISTOPHER C.R.",C.M.G.
192,"BAX-IRON SIDE, SIR HENRY G.O.",K.C.M.G.
193,"BAXTER, CHARLES W.",C.M.G.
194,"BAXTER, GEORGE H.",C.M.G.
195,"BAXTER, GEORGE H.",C.I.E.
196,"BAYNE, SIR NICHOLAS P.",K.C.M.G.
197,"BEALE, SIR LOUIS B.G.S.",K.C.M.G.
198,"BEALE, SIR LOUIS B.G.S.",C.B.E.
199,"BEAMISH, SIR ADRIAN J.",K.C.M.G.
200,"BEATTIE, DAVID",C.M.G.
201,"BEAUMONT, SIR HENRY H.D.",K.C.M.G.
202,"BEAUMONT, SIR RICHARD A.",K.C.M.G.
203,"BEAUMONT, SIR RICHARD A.",O.B.E.
204,"BEAVEN, JOHN L.",C.M.G.
205,"BEAVEN, JOHN L.",C.V.O.
206,"BECKETT, SIR W. ERIC",K.C.M.G.
207,"BECKETT, SIR W. ERIC",Q.C.
208,"BEDFORD, RODNEY",O.B.E.
209,"BEELEY, SIR HAROLD",K.C.M.G.
210,"BEELEY, SIR HAROLD",C.B.E.
211,"BEETHAM, ROGER C.",C.M.G.
212,"BEETHAM, ROGER C.",L.V.O.
213,"BEITH, SIR JOHN G.S.",K.C.M.G.
214,"BELCHER, RONALD H.",C.M.G.
215,"BELGROVE, DAVID",O.B.E.
216,"BELL, SIR GAWAIN W.",K.C.M.G.
217,"BELL, SIR GAWAIN W.",C.B.E.
218,"BELL, IAN W.",C.B.E.
219,"BENDALL, DAVID V.",C.M.G.
220,"BENDALL, DAVID V.",M.B.E.
221,"BENNETT, ANDREW P.",C.M.G.
222,"BENNETT, SIR COURTENAY W.",C.I.E.
223,"BENNETT, JOHN S.",C.V.O.
224,"BENNETT, JOHN S.",C.B.E.
225,"BENNETT, JOHN S.",C.M.G.
226,"BENTINCK, SIR CHARLES H.",K.C.M.G.
227,"BENTLEY, SIR WILLIAM",K.C.M.G.
228,"BERG, GEOFFREY",M.V.O.
229,"BERGNE, A. PAUL A’C.",C.B.E.
230,"BERGNE, SIR J. HENRY G.",K.C.B.
231,"BERGNE, SIR J. HENRY G.",K.C.M.G.
232,"BERKELEY, SIR ERNEST J.L.",K.C.M.G.
233,"BERKELEY, SIR ERNEST J.L.",C.B.
234,"BERMAN, SIR FRANKLIN, (FRANK) D.",K.C.M.G.
235,"BERMAN, SIR FRANKLIN, (FRANK) D.",Q.C.
236,"BERNAL, FREDERIC",C.M.G.
237,"BERNAYS, LEWIS E.",O.B.E.
238,"BERTHOUD, SIR ERIC A.",K.C.M.G.
239,"BERTHOUD, SIR MARTIN S.",K.C.V.O.
240,"BERTHOUD, SIR MARTIN S.",C.M.G.
241,"BERTIE, Rt. Hon. SIR FRANCIS L.",G.C.B.
242,"BERTIE, Rt. Hon. SIR FRANCIS L.",G.C.M.G.
243,"BERTIE, Rt. Hon. SIR FRANCIS L.",G.C.V.O.
244,"BERTRAM, MARK H.R.",C.B.E.
245,"BEST, SIR RICHARD R.",K.C.V.O.
246,"BEST, SIR RICHARD R.",C.B.E.
247,"BETHAM, Lieutenant-Colonel SIR GEOFFREY L.",K.B.E.
248,"BETHAM, Lieutenant-Colonel SIR GEOFFREY L.",C.I.E.
249,"BETHAM, Lieutenant-Colonel SIR GEOFFREY L.",M.C.
250,"BETHLEHEM, SIR DANIEL",K.C.M.G.
251,"BETHLEHEM, SIR DANIEL",Q.C.
252,"BEVAN, SIR JAMES D.",K.C.M.G.
